timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296689.595972,c2s,10.0.2.15,53637,74.125.233.127,443,182,0.0
1413296689.866526,s2c,74.125.233.127,443,10.0.2.15,53637,2860,0.0262777938204
1413296689.867911,s2c,74.125.233.127,443,10.0.2.15,53637,1060,0.439214553855
1413296689.875693,c2s,10.0.2.15,53637,74.125.233.127,443,162,0.592261045336
1413296689.878456,c2s,10.0.2.15,53637,74.125.233.127,443,65,0.615651169506
1413296689.878734,c2s,10.0.2.15,53637,74.125.233.127,443,744,0.625036095871
1413296690.146390,s2c,74.125.233.127,443,10.0.2.15,53637,348,0.732457406873
1413296690.588684,s2c,74.125.233.127,443,10.0.2.15,53637,311,0.782702858793
1413296690.589337,c2s,10.0.2.15,53637,74.125.233.127,443,41,0.82760612186
1413296749.013048,c2s,10.0.2.15,53637,74.125.233.127,443,41,0.833525844643
1413296749.283494,s2c,74.125.233.127,443,10.0.2.15,53637,41,0.839445567427
1413296792.177120,c2s,10.0.2.15,53637,74.125.233.127,443,737,0.845365290211
1413296792.620255,s2c,74.125.233.127,443,10.0.2.15,53637,135,0.951775916835
1413296792.621488,c2s,10.0.2.15,53637,74.125.233.127,443,41,0.971267686977
1413296851.348308,c2s,10.0.2.15,53637,74.125.233.127,443,41,0.97718740976
1413296851.619654,s2c,74.125.233.127,443,10.0.2.15,53637,41,0.983107132544
1413296866.135802,c2s,10.0.2.15,53637,74.125.233.127,443,45,0.989026855328
1413296866.136247,c2s,10.0.2.15,53637,74.125.233.127,443,31,0.995524112042
