timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296675.104692,c2s,10.0.2.15,43350,173.194.37.38,443,186,0.0
1413296675.134271,s2c,173.194.37.38,443,10.0.2.15,43350,1430,0.0274863307226
1413296675.135338,s2c,173.194.37.38,443,10.0.2.15,43350,1420,0.238805970149
1413296675.135970,s2c,173.194.37.38,443,10.0.2.15,43350,1072,0.44864784986
1413296675.142636,c2s,10.0.2.15,43350,173.194.37.38,443,162,0.607063691444
1413296675.143233,c2s,10.0.2.15,43350,173.194.37.38,443,65,0.631003398847
1413296675.143494,c2s,10.0.2.15,43350,173.194.37.38,443,1332,0.640608837003
1413296675.165011,s2c,173.194.37.38,443,10.0.2.15,43350,348,0.83744643121
1413296675.192391,s2c,173.194.37.38,443,10.0.2.15,43350,320,0.888872469336
1413296675.223986,c2s,10.0.2.15,43350,173.194.37.38,443,41,0.936160780257
1413296734.006610,c2s,10.0.2.15,43350,173.194.37.38,443,41,0.942219595094
1413296734.030441,s2c,173.194.37.38,443,10.0.2.15,43350,41,0.948278409931
1413296792.330005,c2s,10.0.2.15,43350,173.194.37.38,443,41,0.954337224767
1413296792.352209,s2c,173.194.37.38,443,10.0.2.15,43350,41,0.960396039604
1413296851.347263,c2s,10.0.2.15,43350,173.194.37.38,443,41,0.966454854441
1413296851.373771,s2c,173.194.37.38,443,10.0.2.15,43350,110,0.972513669277
1413296851.374591,c2s,10.0.2.15,43350,173.194.37.38,443,45,0.988769026156
1413296851.378334,c2s,10.0.2.15,43350,173.194.37.38,443,31,0.99541894488
