timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296664.319498,c2s,10.0.2.15,55518,173.194.68.19,443,182,0.0
1413296664.340728,s2c,173.194.68.19,443,10.0.2.15,55518,2860,9.11687990314e-05
1413296664.340928,s2c,173.194.68.19,443,10.0.2.15,55518,322,0.00152382135524
1413296664.344448,c2s,10.0.2.15,55518,173.194.68.19,443,162,0.00168511999968
1413296664.365261,c2s,10.0.2.15,55518,173.194.68.19,443,65,0.00176627024937
1413296664.365324,c2s,10.0.2.15,55518,173.194.68.19,443,400,0.00179883053474
1413296664.365774,s2c,173.194.68.19,443,10.0.2.15,55518,348,0.00199920152162
1413296664.462522,s2c,173.194.68.19,443,10.0.2.15,55518,768,0.0021735242802
1413296664.463576,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00255823657502
1413296665.075493,c2s,10.0.2.15,55518,173.194.68.19,443,572,0.00257877460117
1413296665.110846,s2c,173.194.68.19,443,10.0.2.15,55518,174,0.00286530511242
1413296665.113073,s2c,173.194.68.19,443,10.0.2.15,55518,78,0.00295246649171
1413296665.113653,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00299153883415
1413296668.251457,c2s,10.0.2.15,55518,173.194.68.19,443,595,0.00301207686031
1413296668.287373,s2c,173.194.68.19,443,10.0.2.15,55518,146,0.00331012870329
1413296668.287879,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00338326411351
1413296670.181800,c2s,10.0.2.15,55518,173.194.68.19,443,608,0.00340380213966
1413296670.290081,s2c,173.194.68.19,443,10.0.2.15,55518,162,0.00370836603972
1413296670.292709,s2c,173.194.68.19,443,10.0.2.15,55518,41,0.00378951628941
1413296670.293437,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00381005431557
1413296673.051205,c2s,10.0.2.15,55518,173.194.68.19,443,1460,0.00383059234172
1413296673.051817,c2s,10.0.2.15,55518,173.194.68.19,443,325,0.00456194644384
1413296673.217005,s2c,173.194.68.19,443,10.0.2.15,55518,1040,0.00472474787068
1413296673.218315,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00524571243658
1413296673.221544,c2s,10.0.2.15,55518,173.194.68.19,443,1460,0.00526625046273
1413296673.222329,c2s,10.0.2.15,55518,173.194.68.19,443,580,0.00599760456485
1413296673.280738,s2c,173.194.68.19,443,10.0.2.15,55518,377,0.00628814249583
1413296673.281195,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.00647699215097
1413296673.282786,c2s,10.0.2.15,55518,173.194.68.19,443,1460,0.00649753017712
1413296673.283328,c2s,10.0.2.15,55518,173.194.68.19,443,584,0.00722888427924
1413296673.509766,s2c,173.194.68.19,443,10.0.2.15,55518,4402,0.00752142592009
1413296673.522893,s2c,173.194.68.19,443,10.0.2.15,55518,8421,0.00972650863073
1413296673.528759,s2c,173.194.68.19,443,10.0.2.15,55518,4191,0.0139448188321
1413296673.530066,s2c,173.194.68.19,443,10.0.2.15,55518,8481,0.0160442058471
1413296673.530534,s2c,173.194.68.19,443,10.0.2.15,55518,1317,0.0202925716965
1413296673.530548,s2c,173.194.68.19,443,10.0.2.15,55518,2814,0.0209522931708
1413296673.536219,s2c,173.194.68.19,443,10.0.2.15,55518,2832,0.0223619030635
1413296673.536423,s2c,173.194.68.19,443,10.0.2.15,55518,2775,0.0237805296506
1413296673.537637,s2c,173.194.68.19,443,10.0.2.15,55518,4191,0.0251706033721
1413296673.538609,s2c,173.194.68.19,443,10.0.2.15,55518,2412,0.0272699903872
1413296673.563787,c2s,10.0.2.15,55518,173.194.68.19,443,1460,0.0284782274381
1413296673.563930,c2s,10.0.2.15,55518,173.194.68.19,443,49,0.0292095815402
1413296673.564661,c2s,10.0.2.15,55518,173.194.68.19,443,1460,0.0292341269861
1413296673.564741,c2s,10.0.2.15,55518,173.194.68.19,443,521,0.0299654810882
1413296673.604940,s2c,173.194.68.19,443,10.0.2.15,55518,1087,0.0302264642986
1413296673.605737,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.0307709724555
1413296673.643497,s2c,173.194.68.19,443,10.0.2.15,55518,4122,0.0307915104817
1413296673.644599,s2c,173.194.68.19,443,10.0.2.15,55518,41,0.0328563335015
1413296673.648266,c2s,10.0.2.15,55518,173.194.68.19,443,41,0.0328768715276
1413296673.720258,s2c,173.194.68.19,443,10.0.2.15,55518,269,0.0328974095538
1413296673.720346,s2c,173.194.68.19,443,10.0.2.15,55518,8496,0.0330321590425
1413296673.720625,s2c,173.194.68.19,443,10.0.2.15,55518,7534,0.0372880388038
1413296673.721321,s2c,173.194.68.19,443,10.0.2.15,55518,4248,0.0410620263418
1413296673.721581,s2c,173.194.68.19,443,10.0.2.15,55518,5664,0.0431899662225
