timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296664.136243,c2s,10.0.2.15,52632,173.194.68.17,443,180,0.0
1413296664.159208,s2c,173.194.68.17,443,10.0.2.15,52632,1430,0.0316011235955
1413296664.159875,s2c,173.194.68.17,443,10.0.2.15,52632,2105,0.282654494382
1413296664.163023,c2s,10.0.2.15,52632,173.194.68.17,443,162,0.652212078652
1413296664.184118,s2c,173.194.68.17,443,10.0.2.15,52632,348,0.680653089888
1413296664.205339,c2s,10.0.2.15,52632,173.194.68.17,443,65,0.741748595506
1413296664.205568,c2s,10.0.2.15,52632,173.194.68.17,443,393,0.75316011236
1413296664.286442,s2c,173.194.68.17,443,10.0.2.15,52632,581,0.822155898876
1413296664.287484,c2s,10.0.2.15,52632,173.194.68.17,443,41,0.924157303371
1413296722.999938,c2s,10.0.2.15,52632,173.194.68.17,443,41,0.931355337079
1413296723.021650,s2c,173.194.68.17,443,10.0.2.15,52632,41,0.938553370787
1413296781.324606,c2s,10.0.2.15,52632,173.194.68.17,443,41,0.945751404494
1413296781.346710,s2c,173.194.68.17,443,10.0.2.15,52632,41,0.952949438202
1413296840.339434,c2s,10.0.2.15,52632,173.194.68.17,443,41,0.96014747191
1413296840.361492,s2c,173.194.68.17,443,10.0.2.15,52632,110,0.967345505618
1413296840.362366,c2s,10.0.2.15,52632,173.194.68.17,443,45,0.986657303371
1413296840.362891,c2s,10.0.2.15,52632,173.194.68.17,443,31,0.99455758427
