timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296675.259493,c2s,10.0.2.15,52462,74.125.22.189,443,194,0.0
1413296675.281809,s2c,74.125.22.189,443,10.0.2.15,52462,2840,0.0260123357468
1413296675.282020,s2c,74.125.22.189,443,10.0.2.15,52462,838,0.406811477608
1413296675.285312,c2s,10.0.2.15,52462,74.125.22.189,443,162,0.519174041298
1413296675.306691,s2c,74.125.22.189,443,10.0.2.15,52462,364,0.540895682489
1413296675.820880,c2s,10.0.2.15,52462,74.125.22.189,443,65,0.589702333065
1413296675.821075,c2s,10.0.2.15,52462,74.125.22.189,443,1460,0.598417806382
1413296675.821184,c2s,10.0.2.15,52462,74.125.22.189,443,673,0.794180745508
1413296675.870928,s2c,74.125.22.189,443,10.0.2.15,52462,272,0.884419415393
1413296675.871320,s2c,74.125.22.189,443,10.0.2.15,52462,80,0.92089031912
1413296675.872794,s2c,74.125.22.189,443,10.0.2.15,52462,78,0.931617055511
1413296675.875892,c2s,10.0.2.15,52462,74.125.22.189,443,41,0.942075623492
1413296734.008485,c2s,10.0.2.15,52462,74.125.22.189,443,41,0.947573075892
1413296734.029787,s2c,74.125.22.189,443,10.0.2.15,52462,41,0.953070528292
1413296792.330514,c2s,10.0.2.15,52462,74.125.22.189,443,41,0.958567980692
1413296792.352046,s2c,74.125.22.189,443,10.0.2.15,52462,41,0.964065433092
1413296851.348074,c2s,10.0.2.15,52462,74.125.22.189,443,41,0.969562885492
1413296851.373362,s2c,74.125.22.189,443,10.0.2.15,52462,110,0.975060337892
1413296851.375583,c2s,10.0.2.15,52462,74.125.22.189,443,45,0.989809600429
1413296851.377951,c2s,10.0.2.15,52462,74.125.22.189,443,31,0.995843389649
