timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296674.466358,c2s,10.0.2.15,37235,74.125.228.207,443,182,0.0
1413296674.491148,s2c,74.125.228.207,443,10.0.2.15,37235,2840,0.00294460264043
1413296674.491987,s2c,74.125.228.207,443,10.0.2.15,37235,1080,0.0488933471395
1413296674.496897,c2s,10.0.2.15,37235,74.125.228.207,443,162,0.0663668133575
1413296674.498062,c2s,10.0.2.15,37235,74.125.228.207,443,65,0.0689878332902
1413296674.498569,c2s,10.0.2.15,37235,74.125.228.207,443,634,0.0700394770903
1413296674.517656,s2c,74.125.228.207,443,10.0.2.15,37235,348,0.0802970489257
1413296674.539692,s2c,74.125.228.207,443,10.0.2.15,37235,4260,0.0859273880404
1413296674.540217,s2c,74.125.228.207,443,10.0.2.15,37235,7100,0.154850504789
1413296674.540556,s2c,74.125.228.207,443,10.0.2.15,37235,8520,0.269722366037
1413296674.540923,s2c,74.125.228.207,443,10.0.2.15,37235,277,0.407568599534
1413296674.541302,s2c,74.125.228.207,443,10.0.2.15,37235,5608,0.412050220036
1413296674.542544,s2c,74.125.228.207,443,10.0.2.15,37235,1430,0.502782811287
1413296674.542743,s2c,74.125.228.207,443,10.0.2.15,37235,2860,0.52591897489
1413296674.543624,s2c,74.125.228.207,443,10.0.2.15,37235,1430,0.572191302097
1413296674.544676,s2c,74.125.228.207,443,10.0.2.15,37235,5720,0.5953274657
1413296674.546091,s2c,74.125.228.207,443,10.0.2.15,37235,5720,0.687872120114
1413296674.560885,s2c,74.125.228.207,443,10.0.2.15,37235,5720,0.780416774528
1413296674.561598,s2c,74.125.228.207,443,10.0.2.15,37235,5720,0.872961428941
1413296674.563511,s2c,74.125.228.207,443,10.0.2.15,37235,1700,0.965506083355
1413296675.068431,c2s,10.0.2.15,37235,74.125.228.207,443,41,0.993010613513
1413296734.007858,c2s,10.0.2.15,37235,74.125.228.207,443,41,0.993673958064
1413296734.030469,s2c,74.125.228.207,443,10.0.2.15,37235,41,0.994337302615
1413296792.330262,c2s,10.0.2.15,37235,74.125.228.207,443,41,0.995000647165
1413296792.352261,s2c,74.125.228.207,443,10.0.2.15,37235,41,0.995663991716
1413296851.347670,c2s,10.0.2.15,37235,74.125.228.207,443,41,0.996327336267
1413296851.373655,s2c,74.125.228.207,443,10.0.2.15,37235,110,0.996990680818
1413296851.376892,c2s,10.0.2.15,37235,74.125.228.207,443,45,0.998770385711
1413296851.377350,c2s,10.0.2.15,37235,74.125.228.207,443,31,0.999498446803
