timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296674.140755,c2s,10.0.2.15,47657,74.125.29.132,443,204,0.0
1413296674.162128,s2c,74.125.29.132,443,10.0.2.15,47657,2840,0.00211018474461
1413296674.162495,s2c,74.125.29.132,443,10.0.2.15,47657,775,0.0314872664832
1413296674.167272,c2s,10.0.2.15,47657,74.125.29.132,443,162,0.0395038997042
1413296674.188168,s2c,74.125.29.132,443,10.0.2.15,47657,364,0.0411796346484
1413296675.704387,c2s,10.0.2.15,47657,74.125.29.132,443,65,0.0449448662515
1413296675.704552,c2s,10.0.2.15,47657,74.125.29.132,443,634,0.0456172290378
1413296675.710887,c2s,10.0.2.15,47657,74.125.29.132,443,481,0.0521753522147
1413296675.786691,s2c,74.125.29.132,443,10.0.2.15,47657,360,0.0571508368331
1413296675.787348,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.0608746922647
1413296675.795852,s2c,74.125.29.132,443,10.0.2.15,47657,169,0.0612987980222
1413296675.796165,s2c,74.125.29.132,443,10.0.2.15,47657,2421,0.0630469412665
1413296675.796786,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.0880898690444
1413296675.965496,c2s,10.0.2.15,47657,74.125.29.132,443,500,0.0885139748019
1413296675.985513,s2c,74.125.29.132,443,10.0.2.15,47657,153,0.0936859962348
1413296675.986208,s2c,74.125.29.132,443,10.0.2.15,47657,8510,0.0952686347932
1413296675.986633,s2c,74.125.29.132,443,10.0.2.15,47657,4290,0.18329643958
1413296675.987079,s2c,74.125.29.132,443,10.0.2.15,47657,5720,0.227672383474
1413296675.988520,s2c,74.125.29.132,443,10.0.2.15,47657,4613,0.286840308666
1413296675.989217,s2c,74.125.29.132,443,10.0.2.15,47657,41,0.334557378406
1413296675.990644,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.334981484163
1413296690.997265,c2s,10.0.2.15,47657,74.125.29.132,443,612,0.335405589921
1413296691.204439,s2c,74.125.29.132,443,10.0.2.15,47657,5840,0.341736144155
1413296691.205482,s2c,74.125.29.132,443,10.0.2.15,47657,6966,0.40214535449
1413296691.206301,s2c,74.125.29.132,443,10.0.2.15,47657,4248,0.474201957093
1413296691.207471,s2c,74.125.29.132,443,10.0.2.15,47657,4126,0.518143451186
1413296691.208079,s2c,74.125.29.132,443,10.0.2.15,47657,4191,0.56082297205
1413296691.209238,s2c,74.125.29.132,443,10.0.2.15,47657,5720,0.604174855701
1413296691.211372,s2c,74.125.29.132,443,10.0.2.15,47657,5720,0.663342780892
1413296691.213337,s2c,74.125.29.132,443,10.0.2.15,47657,5720,0.722510706084
1413296691.214257,c2s,10.0.2.15,47657,74.125.29.132,443,45,0.781678631276
1413296691.224978,s2c,74.125.29.132,443,10.0.2.15,47657,5720,0.782144113205
1413296691.225289,s2c,74.125.29.132,443,10.0.2.15,47657,103,0.841312038397
1413296691.226054,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.842377474812
1413296750.014222,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.84280158057
1413296750.035379,s2c,74.125.29.132,443,10.0.2.15,47657,41,0.843225686327
1413296808.334181,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.843649792085
1413296808.354643,s2c,74.125.29.132,443,10.0.2.15,47657,41,0.844073897842
1413296828.506205,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.8444980036
1413296828.506657,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.851594017006
1413296828.507012,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.858690030411
1413296828.507473,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.865786043817
1413296828.508069,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.872882057223
1413296828.508939,c2s,10.0.2.15,47657,74.125.29.132,443,686,0.879978070629
1413296828.565335,s2c,74.125.29.132,443,10.0.2.15,47657,1023,0.887074084035
1413296828.565989,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.897656039887
1413296828.582921,s2c,74.125.29.132,443,10.0.2.15,47657,69,0.898080145644
1413296828.583476,s2c,74.125.29.132,443,10.0.2.15,47657,1092,0.898793884602
1413296828.584787,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.910089579411
1413296828.603095,s2c,74.125.29.132,443,10.0.2.15,47657,2660,0.910513685169
1413296828.604703,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.938028839192
1413296828.621502,s2c,74.125.29.132,443,10.0.2.15,47657,968,0.938452944949
1413296828.621883,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.948465978443
1413296828.640017,s2c,74.125.29.132,443,10.0.2.15,47657,1481,0.948890084201
1413296828.640990,s2c,74.125.29.132,443,10.0.2.15,47657,2100,0.964209611685
1413296828.641985,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.985932101703
1413296828.658152,s2c,74.125.29.132,443,10.0.2.15,47657,63,0.98635620746
1413296828.659661,s2c,74.125.29.132,443,10.0.2.15,47657,1139,0.987007882161
1413296828.660903,c2s,10.0.2.15,47657,74.125.29.132,443,41,0.998789746985
1413296866.122381,c2s,10.0.2.15,47657,74.125.29.132,443,45,0.999213852742
1413296866.129425,c2s,10.0.2.15,47657,74.125.29.132,443,31,0.999679334671
