timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296689.848399,c2s,10.0.2.15,53638,74.125.233.127,443,182,0.0
1413296690.119026,s2c,74.125.233.127,443,10.0.2.15,53638,2840,0.0385266723116
1413296690.120405,s2c,74.125.233.127,443,10.0.2.15,53638,1082,0.639712108383
1413296690.128679,c2s,10.0.2.15,53638,74.125.233.127,443,162,0.868755292125
1413296690.129505,c2s,10.0.2.15,53638,74.125.233.127,443,65,0.903048264183
1413296690.129691,c2s,10.0.2.15,53638,74.125.233.127,443,45,0.916807790008
1413296690.400901,s2c,74.125.233.127,443,10.0.2.15,53638,348,0.92633361558
