timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296673.616718,c2s,10.0.2.15,37302,173.194.37.51,443,181,0.0
1413296673.641090,s2c,173.194.37.51,443,10.0.2.15,37302,2840,0.0032423911291
1413296673.641544,s2c,173.194.37.51,443,10.0.2.15,37302,697,0.0541174784587
1413296673.647069,c2s,10.0.2.15,37302,173.194.37.51,443,162,0.0666033713702
1413296673.668887,s2c,173.194.37.51,443,10.0.2.15,37302,348,0.0695054009996
1413296673.679843,c2s,10.0.2.15,37302,173.194.37.51,443,65,0.0757393905738
1413296673.680033,c2s,10.0.2.15,37302,173.194.37.51,443,1324,0.0769037851782
1413296673.771944,s2c,173.194.37.51,443,10.0.2.15,37302,483,0.100621607581
1413296673.772417,s2c,173.194.37.51,443,10.0.2.15,37302,41,0.10927395518
1413296673.772793,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.110008419469
1413296674.422565,c2s,10.0.2.15,37302,173.194.37.51,443,1308,0.110742883758
1413296674.452034,s2c,173.194.37.51,443,10.0.2.15,37302,390,0.13417408595
1413296674.452384,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.141160453576
1413296674.499584,c2s,10.0.2.15,37302,173.194.37.51,443,1285,0.141894917865
1413296674.546157,s2c,173.194.37.51,443,10.0.2.15,37302,324,0.164914103506
1413296675.070712,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.170718162764
1413296675.078494,c2s,10.0.2.15,37302,173.194.37.51,443,1437,0.171452627053
1413296675.111897,s2c,173.194.37.51,443,10.0.2.15,37302,319,0.197194704692
1413296675.112680,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.202909195135
1413296675.157833,c2s,10.0.2.15,37302,173.194.37.51,443,1269,0.203643659424
1413296675.206413,s2c,173.194.37.51,443,10.0.2.15,37302,178,0.226376224854
1413296675.206713,s2c,173.194.37.51,443,10.0.2.15,37302,1879,0.229564874693
1413296675.235810,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.263224835641
1413296675.237250,c2s,10.0.2.15,37302,173.194.37.51,443,1351,0.26395929993
1413296675.237630,c2s,10.0.2.15,37302,173.194.37.51,443,1404,0.288160793938
1413296675.263905,s2c,173.194.37.51,443,10.0.2.15,37302,333,0.313311717392
1413296675.264233,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.319277000519
1413296675.281716,s2c,173.194.37.51,443,10.0.2.15,37302,6590,0.320011464808
1413296675.282515,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.438063163929
1413296675.686725,c2s,10.0.2.15,37302,173.194.37.51,443,1381,0.438797628218
1413296675.726355,s2c,173.194.37.51,443,10.0.2.15,37302,57,0.46353653512
1413296675.727907,s2c,173.194.37.51,443,10.0.2.15,37302,2846,0.464557619619
1413296675.728361,s2c,173.194.37.51,443,10.0.2.15,37302,6381,0.515540189528
1413296675.728940,c2s,10.0.2.15,37302,173.194.37.51,443,41,0.629847912151
1413296679.300577,c2s,10.0.2.15,37302,173.194.37.51,443,1351,0.63058237644
