timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296675.521197,c2s,10.0.2.15,44456,74.125.228.201,443,182,0.0
1413296675.544252,s2c,74.125.228.201,443,10.0.2.15,44456,2860,0.000484601907521
1413296675.545275,s2c,74.125.228.201,443,10.0.2.15,44456,1061,0.00809977473999
1413296675.548699,c2s,10.0.2.15,44456,74.125.228.201,443,162,0.010924844102
1413296675.553159,c2s,10.0.2.15,44456,74.125.228.201,443,65,0.0113561930526
1413296675.553697,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.0115292651624
1413296675.554375,c2s,10.0.2.15,44456,74.125.228.201,443,46,0.015416731014
1413296675.571456,s2c,74.125.228.201,443,10.0.2.15,44456,348,0.0155392128148
1413296675.594818,s2c,74.125.228.201,443,10.0.2.15,44456,4260,0.0164658142643
1413296675.595771,s2c,74.125.228.201,443,10.0.2.15,44456,7100,0.0278086940777
1413296675.596972,s2c,74.125.228.201,443,10.0.2.15,44456,8520,0.0467134937667
1413296675.598173,s2c,74.125.228.201,443,10.0.2.15,44456,9940,0.0693992533935
1413296675.599055,s2c,74.125.228.201,443,10.0.2.15,44456,6141,0.0958659729581
1413296675.600414,s2c,74.125.228.201,443,10.0.2.15,44456,5720,0.112217293365
1413296675.615119,s2c,74.125.228.201,443,10.0.2.15,44456,8580,0.12744763903
1413296675.616022,s2c,74.125.228.201,443,10.0.2.15,44456,7150,0.150293157528
1413296675.616406,s2c,74.125.228.201,443,10.0.2.15,44456,1430,0.169331089609
1413296675.616990,s2c,74.125.228.201,443,10.0.2.15,44456,4290,0.173138676025
1413296675.617290,s2c,74.125.228.201,443,10.0.2.15,44456,1430,0.184561435274
1413296675.619809,s2c,74.125.228.201,443,10.0.2.15,44456,228,0.18836902169
1413296675.685417,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.188976105398
1413296675.764217,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.18908527396
1413296675.764326,c2s,10.0.2.15,44456,74.125.228.201,443,51,0.192972739811
1413296675.783349,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.193108534851
1413296675.783401,c2s,10.0.2.15,44456,74.125.228.201,443,72,0.196996000703
1413296675.804622,s2c,74.125.228.201,443,10.0.2.15,44456,92,0.197187711348
1413296675.805039,s2c,74.125.228.201,443,10.0.2.15,44456,8496,0.197432674949
1413296675.805322,s2c,74.125.228.201,443,10.0.2.15,44456,11440,0.220054531028
1413296675.807104,s2c,74.125.228.201,443,10.0.2.15,44456,2720,0.250515222358
1413296675.807385,s2c,74.125.228.201,443,10.0.2.15,44456,4207,0.257757624492
1413296675.807922,s2c,74.125.228.201,443,10.0.2.15,44456,1942,0.26895938397
1413296675.822077,c2s,10.0.2.15,44456,74.125.228.201,443,45,0.274130246082
1413296675.823289,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.274250065235
1413296675.823782,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.274359233796
1413296675.859243,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.274468402358
1413296675.859313,c2s,10.0.2.15,44456,74.125.228.201,443,84,0.27835586821
1413296675.902258,s2c,74.125.228.201,443,10.0.2.15,44456,2927,0.278579530628
1413296675.902767,s2c,74.125.228.201,443,10.0.2.15,44456,8496,0.286373100866
1413296675.903347,s2c,74.125.228.201,443,10.0.2.15,44456,8580,0.308994956945
1413296675.903623,s2c,74.125.228.201,443,10.0.2.15,44456,2748,0.331840475442
1413296675.904231,s2c,74.125.228.201,443,10.0.2.15,44456,5664,0.339157431716
1413296675.906096,s2c,74.125.228.201,443,10.0.2.15,44456,1430,0.354238669102
1413296675.906457,s2c,74.125.228.201,443,10.0.2.15,44456,4290,0.358046255518
1413296675.907109,s2c,74.125.228.201,443,10.0.2.15,44456,1430,0.369469014767
1413296675.907327,s2c,74.125.228.201,443,10.0.2.15,44456,4290,0.373276601183
1413296675.907998,s2c,74.125.228.201,443,10.0.2.15,44456,2860,0.384699360432
1413296675.908321,s2c,74.125.228.201,443,10.0.2.15,44456,2860,0.392314533264
1413296675.908983,s2c,74.125.228.201,443,10.0.2.15,44456,1430,0.399929706097
1413296675.909295,s2c,74.125.228.201,443,10.0.2.15,44456,4290,0.403737292513
1413296675.910267,s2c,74.125.228.201,443,10.0.2.15,44456,5353,0.415160051762
1413296675.912644,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.429413205668
1413296675.938616,c2s,10.0.2.15,44456,74.125.228.201,443,1375,0.42952237423
1413296675.961724,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.433183515015
1413296675.961810,c2s,10.0.2.15,44456,74.125.228.201,443,191,0.437070980866
1413296675.997961,s2c,74.125.228.201,443,10.0.2.15,44456,8584,0.437579546604
1413296675.998616,c2s,10.0.2.15,44456,74.125.228.201,443,45,0.460435715693
1413296675.998775,s2c,74.125.228.201,443,10.0.2.15,44456,12786,0.460555534846
1413296675.999073,s2c,74.125.228.201,443,10.0.2.15,44456,5720,0.494600150173
1413296675.999670,s2c,74.125.228.201,443,10.0.2.15,44456,2371,0.509830495838
1413296676.000734,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.516143633875
1413296676.032474,s2c,74.125.228.201,443,10.0.2.15,44456,5238,0.516252802437
1413296676.034273,s2c,74.125.228.201,443,10.0.2.15,44456,88,0.530199751841
1413296676.034569,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.530434064851
1413296676.543898,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.530543233413
1413296676.544006,c2s,10.0.2.15,44456,74.125.228.201,443,156,0.534430699265
1413296676.585807,s2c,74.125.228.201,443,10.0.2.15,44456,70,0.534846072328
1413296676.586129,s2c,74.125.228.201,443,10.0.2.15,44456,7080,0.535032457677
1413296676.586773,s2c,74.125.228.201,443,10.0.2.15,44456,5720,0.553884004409
1413296676.587439,s2c,74.125.228.201,443,10.0.2.15,44456,1582,0.569114350074
1413296676.587732,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.573326658963
1413296735.010040,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.573435827524
1413296735.032749,s2c,74.125.228.201,443,10.0.2.15,44456,41,0.573544996086
1413296778.768099,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.573654164647
1413296778.768182,c2s,10.0.2.15,44456,74.125.228.201,443,133,0.577541630499
1413296778.865022,s2c,74.125.228.201,443,10.0.2.15,44456,143,0.577895762662
1413296778.865996,s2c,74.125.228.201,443,10.0.2.15,44456,1282,0.578276521304
1413296778.866438,s2c,74.125.228.201,443,10.0.2.15,44456,2407,0.581690035839
1413296778.886271,s2c,74.125.228.201,443,10.0.2.15,44456,897,0.588099029199
1413296778.886366,s2c,74.125.228.201,443,10.0.2.15,44456,52,0.590487424314
1413296778.890097,s2c,74.125.228.201,443,10.0.2.15,44456,88,0.590625882002
1413296778.890535,c2s,10.0.2.15,44456,74.125.228.201,443,41,0.590860195012
1413296778.902567,c2s,10.0.2.15,44456,74.125.228.201,443,1460,0.590969363574
1413296778.902746,c2s,10.0.2.15,44456,74.125.228.201,443,196,0.594856829425
