timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296675.966590,c2s,10.0.2.15,47664,74.125.29.132,443,194,0.0
1413296675.987910,s2c,74.125.29.132,443,10.0.2.15,47664,2840,0.0436347278453
1413296675.988710,s2c,74.125.29.132,443,10.0.2.15,47664,776,0.682411156095
1413296675.995248,c2s,10.0.2.15,47664,74.125.29.132,443,162,0.856950067476
1413296675.996254,c2s,10.0.2.15,47664,74.125.29.132,443,65,0.89338731444
1413296675.996348,c2s,10.0.2.15,47664,74.125.29.132,443,45,0.908007197481
1413296676.016300,s2c,74.125.29.132,443,10.0.2.15,47664,364,0.918128654971
