timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296675.744924,c2s,10.0.2.15,51905,74.125.228.225,443,182,0.0
1413296675.777145,s2c,74.125.228.225,443,10.0.2.15,51905,2840,0.000862358978247
1413296675.777503,s2c,74.125.228.225,443,10.0.2.15,51905,1081,0.0143189496278
1413296675.782034,c2s,10.0.2.15,51905,74.125.228.225,443,162,0.0194409828997
1413296675.782547,c2s,10.0.2.15,51905,74.125.228.225,443,65,0.0202085771551
1413296675.782705,c2s,10.0.2.15,51905,74.125.228.225,443,1460,0.0205165625044
1413296675.782740,c2s,10.0.2.15,51905,74.125.228.225,443,110,0.027434387275
1413296675.782829,c2s,10.0.2.15,51905,74.125.228.225,443,146,0.0279555932509
1413296675.783899,c2s,10.0.2.15,51905,74.125.228.225,443,1460,0.0286473757279
1413296675.783958,c2s,10.0.2.15,51905,74.125.228.225,443,135,0.0355652004985
1413296675.813449,s2c,74.125.228.225,443,10.0.2.15,51905,246,0.0362048623779
1413296675.813794,s2c,74.125.228.225,443,10.0.2.15,51905,102,0.0373704684694
1413296675.897689,s2c,74.125.228.225,443,10.0.2.15,51905,290,0.0378537685561
1413296675.898055,s2c,74.125.228.225,443,10.0.2.15,51905,1275,0.0392278570379
1413296675.899332,s2c,74.125.228.225,443,10.0.2.15,51905,2379,0.0452691081218
1413296675.920269,s2c,74.125.228.225,443,10.0.2.15,51905,894,0.0565413719089
1413296675.920681,s2c,74.125.228.225,443,10.0.2.15,51905,52,0.0607773550218
1413296675.921818,s2c,74.125.228.225,443,10.0.2.15,51905,88,0.0610237433013
1413296675.922178,c2s,10.0.2.15,51905,74.125.228.225,443,41,0.061440708082
1413296675.947183,s2c,74.125.228.225,443,10.0.2.15,51905,206,0.0616349757639
1413296675.947640,s2c,74.125.228.225,443,10.0.2.15,51905,81,0.0626110524096
1413296675.951730,s2c,74.125.228.225,443,10.0.2.15,51905,88,0.0629948495373
1413296675.960711,c2s,10.0.2.15,51905,74.125.228.225,443,41,0.063411814318
1413296675.961197,c2s,10.0.2.15,51905,74.125.228.225,443,1460,0.0636060819999
