timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296779.088069,c2s,10.0.2.15,32910,63.245.217.160,443,201,0.0
1413296779.163636,s2c,63.245.217.160,443,10.0.2.15,32910,2840,0.0218407041182
1413296779.164203,s2c,63.245.217.160,443,10.0.2.15,32910,1550,0.33043572748
1413296779.165311,c2s,10.0.2.15,32910,63.245.217.160,443,342,0.498859067695
1413296779.242856,s2c,63.245.217.160,443,10.0.2.15,32910,75,0.536020862762
1413296779.250164,c2s,10.0.2.15,32910,63.245.217.160,443,677,0.544170379224
1413296779.322022,s2c,63.245.217.160,443,10.0.2.15,32910,533,0.617733347821
1413296779.322423,c2s,10.0.2.15,32910,63.245.217.160,443,709,0.675649244811
1413296779.393057,s2c,63.245.217.160,443,10.0.2.15,32910,533,0.752689340432
1413296779.661052,c2s,10.0.2.15,32910,63.245.217.160,443,741,0.810605237423
1413296779.732005,s2c,63.245.217.160,443,10.0.2.15,32910,949,0.891122460067
1413296789.840643,c2s,10.0.2.15,32910,63.245.217.160,443,53,0.994241008367
